L,N,sample,delta,model,sharp_tail,abel_tail,richardson_tail_k1,m_eff,scaled_cutoff_tau,clean_mode_count,born_mean_formula,born_variance_formula
8,64,36,0.625,born,0.00024401979353769714,0.00033032257738390883,0.0006487483304147303,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,36,1.25,exact,0.0018388814712421992,0.0023335882394156693,0.00223769642923803,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,36,1.25,born,0.0008917544176588194,0.0016755202471205408,0.0017926790513837997,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,37,0.625,exact,0.001658031650870087,0.0014143383693548978,0.0014182493144167885,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,37,0.625,born,0.0012455791407028404,0.0010854033067460407,0.0011751254772284282,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,37,1.25,exact,0.004577444395394818,0.003987702836601666,0.0032752908194326642,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,37,1.25,born,0.0036343663588621167,0.0032964743449597645,0.002799150621230234,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,38,0.625,exact,0.0008294749437172645,0.0007299321170409801,0.0010940340960803642,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,38,0.625,born,0.0007809986928027756,0.0006882483818344053,0.0010353199693451532,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,38,1.25,exact,0.0012673619510184505,0.003008992068393982,0.0028378755257446684,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,38,1.25,born,0.001618913228252925,0.002803262823573311,0.0026994009218939004,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,39,0.625,exact,0.0008927718415079603,0.0008227133289168046,0.0012599151679607498,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,39,0.625,born,0.0006162685216258844,0.0005658059102918123,0.0009513193599255722,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,39,1.25,exact,0.0019412960546800221,0.0035093328255261765,0.0032864566863215023,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,39,1.25,born,0.0019214785291955345,0.0024395236168763324,0.002538607968336393,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,40,0.625,exact,0.0036180147344947317,0.0021001039727748944,0.00221673757719712,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,40,0.625,born,0.00211001367415678,0.001123979785280158,0.0014382943631873408,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,40,1.25,exact,0.005557740515243709,0.005719607783054389,0.005078407792146876,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,40,1.25,born,0.002965270979389024,0.0035731586886390628,0.0035358196576609855,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,41,0.625,exact,4.6595932342326915e-05,0.0002452251606812281,0.0005556385938642801,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,41,0.625,born,0.00021537638324025676,0.00024099457147849687,0.0004968894026197693,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,41,1.25,exact,0.0004088614315017292,0.001470424612549785,0.0015789229131175195,80.0,80.0,8,0.00421875,6.3404846191406345e-06
