L,N,sample,delta,model,sharp_tail,abel_tail,richardson_tail_k1,m_eff,scaled_cutoff_tau,clean_mode_count,born_mean_formula,born_variance_formula
8,64,29,1.25,exact,0.010037731319259025,0.007719124749196666,0.0062053534510468815,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,29,1.25,born,0.008124135477927591,0.006315742461662945,0.005114102463124619,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,30,0.625,exact,0.00022918614155671824,0.0003608413402201659,0.0006357773121770294,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,30,0.625,born,0.00019790910210791418,0.0003838621799935692,0.0006716165117939436,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,30,1.25,exact,0.0005051586833401127,0.0016946712653824446,0.0017301705527689626,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,30,1.25,born,0.0010524690098362255,0.0017917958758385563,0.0018327264724696932,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,31,0.625,exact,0.001556065004422193,0.0009351835196987674,0.0010422919856231663,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,31,0.625,born,0.00169295056504709,0.0008646111430157146,0.0009395486514386427,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,31,1.25,exact,0.00243939208452873,0.00267645671550179,0.0024589629505900085,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,31,1.25,born,0.0025919699842790684,0.0022554497268399954,0.0021916098880921456,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,32,0.625,exact,0.0002061624991417463,0.0010213788255760737,0.0012841867684192888,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,32,0.625,born,0.00015547031372439596,0.0009074200771483993,0.0012434154388496026,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,32,1.25,exact,0.0033745296459512714,0.0038110758810372303,0.003268954347347117,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,32,1.25,born,0.0032052512659016723,0.0037592689386831287,0.003240365830721174,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,33,0.625,exact,0.0002423605893889219,0.0005949120078262744,0.0009068481284321368,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,33,0.625,born,0.00015088786304220632,0.00041949012792107397,0.0008039838858389724,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,33,1.25,exact,0.0015485112563087505,0.0025959347890603464,0.0023986135689261145,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,33,1.25,born,0.0009775679858173563,0.002281258783234862,0.002217938619219735,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,34,0.625,exact,0.0039148349544213265,0.0021944054649879357,0.002033041153294422,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,34,0.625,born,0.003826475481465341,0.0021606904652892293,0.0020234955583537492,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,34,1.25,exact,0.007241540443085487,0.005341830674032538,0.004498415584920707,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,34,1.25,born,0.006830855829288936,0.005256719566240459,0.004462552222651967,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,35,0.625,exact,0.0007080684613936666,0.0012941903238805157,0.001263457338235058,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,35,0.625,born,0.0007861225965056533,0.001004797912051526,0.0010506836483462195,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,35,1.25,exact,0.004560842051717061,0.0036535563985052675,0.002937194824474265,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,35,1.25,born,0.004134540979785574,0.003042339939132876,0.002505876564503457,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,36,0.625,exact,0.0004949844602423999,0.0006026031560097827,0.000862896861943043,40.0,40.0,4,0.002109375,4.366035461425789e-06
