sample,components,mean_threshold,variance_threshold,variance_to_mean_squared
85,3,1.4887645895363297,2.8947685260762057,1.3060559470151107
86,2,0.5191446263095015,0.27001508807995084,1.0018698486758677
87,3,1.8704755099468668,4.316894699964889,1.233864310618199
88,3,0.6487511625360562,0.7240718549991088,1.7203838951854278
89,8,1.6766709565721172,8.496143113999116,3.0222204245931223
90,2,0.3101002845758818,0.19866015778674048,2.065886446946038
91,5,0.7368790111655893,1.6735345953650285,3.0820687462153034
92,5,0.4488597588094858,0.5963806004751159,2.9600712473349438
93,5,0.7216567443739865,0.8533145828031184,1.638505177725001
94,5,1.2783703586258617,3.3630939061094596,2.0579063618183016
95,4,1.8167906808410283,7.144984605645167,2.1646690631339993
96,4,1.8746160050561733,3.7932761128126953,1.0794183952135967
97,3,0.4625671196790489,0.23053489952125925,1.0774252830908067
98,5,1.2591880040743948,4.498870499559725,2.8374115801757154
99,7,1.4601006013308593,6.49957868581212,3.0487347866242507
100,8,3.24753341882948,17.636480958571227,1.6722633667355742
101,3,2.5503374815823743,7.6065915958482195,1.1694853665226561
102,5,1.916808894542802,6.581352726345075,1.7912554939271321
103,5,1.0480821151487572,1.4660303109813952,1.3346037152405443
104,2,1.575154527513215,2.831249774276283,1.141121408060193
105,5,1.232188919232818,3.6113989035614162,2.3785969841907844
106,4,2.8631783399867365,11.818075439797072,1.441617209272664
107,2,1.7309718104458762,13.678596527995996,4.565218294534988
108,8,0.8151853332371057,0.8915807085875592,1.3416769183048338
109,6,1.9260815987150357,13.81913963580594,3.725046006783727
110,6,1.6156341299885457,4.142799453211053,1.5871130852252204
111,8,1.3196093216272229,7.342843190392145,4.216707771371979
112,6,1.4193130807724308,4.833339197652609,2.3993348588431282
113,6,1.0180262329558325,1.731829194651865,1.6710410476853337
114,3,1.6719239534917218,4.5258077134045465,1.6190604289970578
115,6,1.3021085942720176,2.067018351084802,1.2191297282404143
116,7,2.3994506568202265,10.359347051488346,1.799321361823072
117,2,1.4874424049004102,10.158705005936557,4.591536407630249
118,5,1.5360524348506028,6.3066865339238785,2.672939711599357
119,5,1.0706819535436207,1.6186822975784785,1.4120193617468872
120,7,1.365916807602533,4.67847118338295,2.5075838303625866
121,7,1.4513687860228912,6.2768799040441134,2.9798078644558097
122,7,2.196370314773278,9.528670341870852,1.9752459113102934
123,3,0.3964748150121873,0.6101921588015626,3.8818201690335887
124,3,2.838302752983167,11.691779811633458,1.45132003607292
125,6,1.7300287366724112,6.323753345122345,2.1128481623967863
126,4,0.8520306867266927,4.308783965001534,5.935321475526402
127,7,1.4042665528109493,9.545241985605553,4.840473414748836
128,3,0.5725323449031342,1.6459541554237136,5.021317476353538
129,2,0.33163821776638736,0.11101453900351417,1.0093707483561194
130,4,1.1015917566238134,5.410985547851485,4.458974813443808
131,3,2.140292807893246,6.537814529634314,1.4272045176847703
132,7,1.8552637472097597,14.5686949486341,4.232620520318907
133,7,1.5105543531795775,3.590451041741851,1.57353459523122
134,4,0.8367488844487543,5.649740547224969,8.069343815847098
135,5,3.081801575338085,18.657870386580488,1.96450313459134
136,2,0.39872085641731614,0.20009478137458578,1.2586293507523938
137,5,2.545058824873457,18.71567370617582,2.889414283838748
138,4,1.4352994417183071,5.387857636600259,2.6153576076912937
139,7,2.3899470773668976,15.489639513652417,2.7118442467395867
140,7,1.8347682311216098,7.551489631431739,2.2432114183445115
141,2,5.452827193274273,29.770750932400716,1.0012587402668534
142,2,1.2656606966698827,1.6433699173378276,1.025889878229604
143,3,0.5965766748439296,0.46521587560949085,1.3071396496987218
144,6,1.9411542591107602,5.739481571967861,1.5231846958589295
145,7,0.5421623318161752,0.6795026572121086,2.3117053513950387
146,2,3.99262323173896,31.872305994711745,1.9993868313255827
147,8,0.42453929559083686,0.3337647034882475,1.8518449306174112
148,6,1.9217159415928182,10.260578483699623,2.778391623561372
149,5,1.4821139824876248,2.6364005006413005,1.2001849497853287
150,3,0.757240180381581,0.7849361738513378,1.3688852487336494
151,7,1.5001583722404346,3.6062598212833965,1.6024437481207092
152,4,2.567740868434238,8.118045992100841,1.2312581567290382
153,7,0.7539777298814414,1.251743747008669,2.201904068147444
154,2,1.722296412017706,4.578199062338496,1.5434013592891307
155,5,1.7207249919600462,4.997560757450407,1.6878550589696966
156,2,1.2085531821651756,1.4613603912302187,1.0005200579868938
157,7,0.9026762080540969,1.9128156575126642,2.3475190561010084
158,4,0.6903277254721131,0.6322071349344229,1.3266267815449828
159,5,1.9994360820357282,8.995757366110368,2.2502080954024435
160,5,1.6741588639261602,11.949258599173044,4.263317008663043
161,8,1.1872973121791397,3.3787273048226725,2.3968131140221454
162,5,4.188911226362232,27.066271678813152,1.5425033767438892
163,7,1.6376055998962311,5.302165070437253,1.9771272179978245
164,4,1.5096508019350876,5.216673560165125,2.2889729318464433
165,8,1.9311183731480888,6.538427643691907,1.75329716409312
166,4,1.1874397787196642,4.479367449858973,3.1768265436346566
167,4,1.7543508769930583,13.729691355177934,4.46095515873597
168,5,2.666641982390792,8.358511296109953,1.175437412030759
169,6,0.8858296851392164,1.8254534907711786,2.326324596872683
170,4,4.398646314032177,27.166359462964728,1.404084863730931
171,3,0.6073786661236634,1.0240047163851,2.775766243794786
172,6,1.9934121060213756,18.480946474572796,4.650825300779782
173,6,0.5202261907310369,1.2171635959912444,4.4974312039595965
174,5,2.3192592101497294,7.175727468320583,1.3340354060132955
175,4,1.8574352617570862,6.540373210731072,1.8957242213898746
176,5,1.8562336760451805,9.651102320097145,2.8009904308202924
177,4,0.7718498096969628,1.0120243349182523,1.6987338963889884
178,7,3.1193317730289856,17.114320351923823,1.758881249746084
179,4,1.3327138585047014,9.351964274119823,5.265371415198062
180,3,0.43027946613520823,0.1950206412507799,1.0533661008640987
181,7,1.1799977727926505,4.376901104231613,3.14343408989059
182,6,1.4536417575468206,3.193430959475443,1.51127240054051
183,2,0.9814543383326647,1.0076629318938533,1.0461045345958748
184,7,2.155083144125566,8.346116841833073,1.797034438874998
185,6,0.40189120602712103,0.6614423873060434,4.095199050433036
186,7,1.9504433189066845,10.426482352078288,2.7407608657728026
187,2,0.3816768842280989,0.15545228659025048,1.0671006834757446
188,6,0.6600325405871925,2.0663811540298784,4.743290651322478
189,5,1.6837468074576976,6.180319586015573,2.1800043621378595
190,4,2.327034512869961,9.946678119035731,1.836844597140172
191,3,1.2653879367645287,1.7821781318042305,1.1130219534736063
192,5,0.36587056832421855,0.2565766000071559,1.9167350997468038
193,3,0.33533749025635395,0.12253818106408218,1.0897006504947349
194,2,5.758867064767315,33.20112964814512,1.0011029782893834
195,4,1.0901640729245872,7.150308763406816,6.01646043265707
196,6,0.9605334392950672,1.8908378941401254,2.0494122134463724
